host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_year,last_review_month,last_review_day,apartment,apt,bed,bedroom,br,central,city,condo,cosy,cozy,mins,mrt,near,orchard,private,room,spacious,studio
227796,131,1.7463762957922624,-2.6261100232505017,1,81.0,1.7293614980786185,1.157712931306313,0.21751318925715468,-0.6842753461250183,1.0413928721611827,2014.0,12.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1439258,469,-0.9043171086259633,-1.7107147015550979,1,44.0,1.0846948055234817,1.157712931306313,0.13740482000745138,-0.22630769834703637,0.8045479541177815,2019.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7669754040911932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6416764991170791,0.0,0.0
1439258,469,-0.9274194823341984,-1.5969390074058696,1,40.0,1.4065052830266762,0.879358123416677,-0.1241898881819036,-0.22630769834703637,0.4214164690475737,2018.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7205674831534762,0.48443991828631694,0.0,0.0,0.0,0.4960851416769217,0.0,0.0
1521514,134,0.4635865977825269,-0.5122773898535233,1,65.0,-0.5474528503413456,1.6475491950660164,1.0605555715564365,-0.6104095964834083,0.839378089124164,2019.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1439258,469,-0.8429134311382959,-1.6779792386770027,1,44.0,1.4065052830266762,1.0082565115311488,-0.0211956717154405,-0.22630769834703637,0.8672421971292701,2019.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1439258,469,-1.0246926347899161,-1.539053127926975,1,40.0,1.4065052830266762,0.879358123416677,-0.04494218073922664,-0.22630769834703637,0.8045479541177815,2019.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1439258,469,-1.109806643188671,-1.601729562949365,1,35.0,1.7293614980786185,0.21464605866954894,-0.4006594678832052,-0.22630769834703637,1.0135287641560766,2016.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7205674831534762,0.48443991828631694,0.0,0.0,0.0,0.4960851416769217,0.0,0.0
1759905,994,0.642933972622752,2.049072973862505,1,81.0,1.7293614980786185,-1.1323106673335688,-1.180402762279402,-0.6842753461250183,-0.29608431208390634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1521514,134,0.47878552785373746,-0.5350325286831421,1,60.0,-0.5474528503413456,1.6475491950660164,0.9663864770571733,-0.6104095964834083,0.8672421971292701,2019.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1521514,134,0.4842571426793668,-0.5166687324349665,1,60.0,-0.5474528503413456,1.6475491950660164,1.2419928201503074,-0.6104095964834083,0.9299364401407586,2019.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8298850155764762,0.5579344593423422,0.0,0.0,0.0,0.0,0.0,0.0
1975201,362,-0.6185772232873049,-0.6136774821825274,1,56.0,1.7293614980786185,1.3274329693978666,0.32698297410326715,-0.6842753461250183,1.0344268451599061,2017.0,8.0,7.0,0.49336053622186393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4660829425100789,0.5925365786880474,0.0,0.4338922388297405,0.0,0.0
2996022,131,1.7074670348099779,-2.281988450070718,2,276.0,0.12255697624341656,0.9270265449295189,-0.06990763588154016,-0.6842753461250183,1.0204947911573532,2018.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3212572,536,-0.15409792031126016,0.053806590157116134,1,167.0,1.7293614980786185,-1.1323106673335688,-1.180402762279402,-0.6842753461250183,1.0413928721611827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1289033,131,0.3973192626720689,-2.0943583579656004,1,100.0,1.7293614980786185,1.3417688399566974,0.28814417941400083,-0.6842753461250183,-0.8742645531898563,2017.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3648224,266,0.32740418434452473,-2.1797899318176093,0,208.0,-1.2365243749129518,-1.1323106673335688,-1.180402762279402,-0.6842753461250183,-1.5012069833047417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
